Restaurant_id,Name,Latitude,Longtitude,Phone,Image_url,Address_1,Address_2,Address_3,City,State,Zip,Price,Yelp_rating,Yelp_url,Yelp_review_count
mad-taco-college-station,Mad Taco,30.6301314,-96.3352909,+19797046266,https://s3-media2.fl.yelpcdn.com/bphoto/Stt1zjQ_Wrt8Bsv4IScJOQ/o.jpg,404 Jane St,Ste 400,,College Station,TX,77840,$,4.5,https://www.yelp.com/biz/mad-taco-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,299.0
napa-flats-wood-fired-kitchen-college-station-college-station,Napa Flats Wood Fired Kitchen - College Station,30.6154972324,-96.3189359981,+19793832500,https://s3-media4.fl.yelpcdn.com/bphoto/FfO1qUUh3RA_nxHVNIXEcQ/o.jpg,1727 Texas Ave S,,,College Station,TX,77840,$$,4.0,https://www.yelp.com/biz/napa-flats-wood-fired-kitchen-college-station-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,351.0
555-grill-college-station-2,555 Grill,30.6073417664,-96.3084259033,+19797043035,https://s3-media4.fl.yelpcdn.com/bphoto/h1sBCrYvSGrlKDrrJlfYEg/o.jpg,2501 S Texas Ave,Ste 104, ,College Station,TX,77840,$$,4.5,https://www.yelp.com/biz/555-grill-college-station-2?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,55.0
the-republic-college-station,The Republic,30.63451,-96.32869,+19792604120,https://s3-media4.fl.yelpcdn.com/bphoto/q3Qdw-H7Xe4vrj2N0YRPWg/o.jpg,701 University Dr E,Ste 406,,College Station,TX,77840,$$$,4.5,https://www.yelp.com/biz/the-republic-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,141.0
mickeys-sliders-college-station,Mickey's Sliders,30.633489,-96.327707,+19798464488,https://s3-media1.fl.yelpcdn.com/bphoto/SrZ5lQv0KaToFAd59AJnbw/o.jpg,700 University Dr E,Ste C,,College Station,TX,77840,$,4.5,https://www.yelp.com/biz/mickeys-sliders-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,246.0
twisted-noodle-cafe-college-station,Twisted Noodle Cafe,30.607462,-96.309511,+19794859816,https://s3-media1.fl.yelpcdn.com/bphoto/bSZ-u3M9kc5oBqQQWHkpdQ/o.jpg,2418 South Texas Ave,Ste E, ,College Station,TX,77840,$,4.0,https://www.yelp.com/biz/twisted-noodle-cafe-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,77.0
shun-de-mom-express-college-station-6,Shun De Mom Express,30.6003432,-96.3048756,+19796969288,https://s3-media3.fl.yelpcdn.com/bphoto/Tpg0XDZtpp9lnMrPGjkmqQ/o.jpg,2704 Texas Ave S,Ste 4,,College Station,TX,77840,$,4.5,https://www.yelp.com/biz/shun-de-mom-express-college-station-6?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,72.0
ohana-korean-grill-college-station,Ohana Korean Grill,30.60723,-96.30741,+19796809911,https://s3-media2.fl.yelpcdn.com/bphoto/t2ITO0ZA_RclMdgeYoRuEQ/o.jpg,2501 S Texas Ave,Ste D-102,,College Station,TX,77840,$$,4.5,https://www.yelp.com/biz/ohana-korean-grill-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,122.0
first-watch-breakfast-brunch-and-lunch-college-station,"First Watch - Breakfast, Brunch & Lunch",30.6307053696,-96.3377711777,+19797046652,https://s3-media2.fl.yelpcdn.com/bphoto/9fAn_8VlDp9cSYGD5mvWGw/o.jpg,4501 S Texas Ave, , ,College Station,TX,77802,$$,4.0,https://www.yelp.com/biz/first-watch-breakfast-brunch-and-lunch-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,168.0
grub-burger-bar-college-station,Grub Burger Bar,30.635133,-96.323098,+19792681041,https://s3-media2.fl.yelpcdn.com/bphoto/S6NuFFqSOfRGyww9HHAoNQ/o.jpg,980 University Dr E,Ste 400,,College Station,TX,77840,$$,4.0,https://www.yelp.com/biz/grub-burger-bar-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,310.0
veritas-wine-and-bistro-college-station,Veritas Wine & Bistro,30.633887,-96.325326,+19792683251,https://s3-media1.fl.yelpcdn.com/bphoto/xBUyAJqLlgtjqaScu3NJFQ/o.jpg,830 University Dr E,,,College Station,TX,77840,$$$,4.5,https://www.yelp.com/biz/veritas-wine-and-bistro-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,126.0
fuego-tortilla-grill-college-station,Fuego Tortilla Grill,30.62793,-96.33345,+19797031804,https://s3-media3.fl.yelpcdn.com/bphoto/t114zee8OI5COd-qDtaLLQ/o.jpg,108 Poplar St,,,College Station,TX,77840,$,4.0,https://www.yelp.com/biz/fuego-tortilla-grill-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,367.0
canteen-bar-and-grill-college-station,Canteen Bar & Grill,30.6257163412,-96.3403592259,+19794855586,https://s3-media1.fl.yelpcdn.com/bphoto/VnHAlFHijfMfnhrf1v8uWQ/o.jpg,200 Century Ct,, ,College Station,TX,77840,$$,3.5,https://www.yelp.com/biz/canteen-bar-and-grill-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,18.0
the-west-end-elixir-company-college-station,The West End Elixir Company,30.61677,-96.34896,+19797219156,https://s3-media2.fl.yelpcdn.com/bphoto/b_SrFchCGekXMjlDpnIv1w/o.jpg,100 Church Ave,,,College Station,TX,77840,$$,4.5,https://www.yelp.com/biz/the-west-end-elixir-company-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,57.0
40-tempura-japanese-fusion-grill-college-station,40 Tempura Japanese Fusion Grill,30.6061069992,-96.3066147553,+19797034034,https://s3-media1.fl.yelpcdn.com/bphoto/EUxiVAw8OiBB8EZtwwky1A/o.jpg,2551 Texas Ave S,Ste D,,College Station,TX,77840,$$,4.0,https://www.yelp.com/biz/40-tempura-japanese-fusion-grill-college-station?adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=2Slx3F97ZFV4IU3uImzXaw,181.0
