Restaurant_id,Category
mad-taco-college-station,tex-mex
mad-taco-college-station,newamerican
mad-taco-college-station,latin
napa-flats-wood-fired-kitchen-college-station-college-station,pizza
napa-flats-wood-fired-kitchen-college-station-college-station,gelato
napa-flats-wood-fired-kitchen-college-station-college-station,wine_bars
555-grill-college-station-2,asianfusion
555-grill-college-station-2,chinese
the-republic-college-station,steak
the-republic-college-station,tradamerican
mickeys-sliders-college-station,burgers
mickeys-sliders-college-station,tradamerican
twisted-noodle-cafe-college-station,creperies
twisted-noodle-cafe-college-station,ramen
twisted-noodle-cafe-college-station,bubbletea
shun-de-mom-express-college-station-6,asianfusion
shun-de-mom-express-college-station-6,chinese
shun-de-mom-express-college-station-6,korean
ohana-korean-grill-college-station,korean
ohana-korean-grill-college-station,bbq
ohana-korean-grill-college-station,asianfusion
first-watch-breakfast-brunch-and-lunch-college-station,breakfast_brunch
first-watch-breakfast-brunch-and-lunch-college-station,cafes
first-watch-breakfast-brunch-and-lunch-college-station,tradamerican
grub-burger-bar-college-station,burgers
veritas-wine-and-bistro-college-station,french
veritas-wine-and-bistro-college-station,newamerican
veritas-wine-and-bistro-college-station,asianfusion
fuego-tortilla-grill-college-station,tex-mex
fuego-tortilla-grill-college-station,mexican
canteen-bar-and-grill-college-station,bars
canteen-bar-and-grill-college-station,tradamerican
the-west-end-elixir-company-college-station,cocktailbars
the-west-end-elixir-company-college-station,pizza
40-tempura-japanese-fusion-grill-college-station,sushi
40-tempura-japanese-fusion-grill-college-station,japanese
ye-star-chinese-buffet-college-station,chinese
ye-star-chinese-buffet-college-station,buffets
shiraz-shish-kabob-college-station,mideastern
shiraz-shish-kabob-college-station,mediterranean
shiraz-shish-kabob-college-station,vegan
yummi-yummi-mongolian-grill-and-sushi-college-station,sushi
yummi-yummi-mongolian-grill-and-sushi-college-station,mongolian
urban-bricks-pizza-college-station,pizza
urban-bricks-pizza-college-station,chicken_wings
urban-bricks-pizza-college-station,salad
koppe-bridge-bar-and-grill-college-station,newamerican
koppe-bridge-bar-and-grill-college-station,burgers
koppe-bridge-bar-and-grill-college-station,bars
harvey-washbangers-college-station,burgers
harvey-washbangers-college-station,salad
harvey-washbangers-college-station,sandwiches
taz-indian-cuisine-college-station,indpak
taz-indian-cuisine-college-station,buffets
taz-indian-cuisine-college-station,bars
fish-daddys-seafood-grill-college-station,seafood
hopdoddy-burger-bar-college-station,burgers
torchys-tacos-college-station,tex-mex
torchys-tacos-college-station,breakfast_brunch
torchys-tacos-college-station,mexican
bbq-13-0-college-station,bbq
fire-truck-crepes-college-station,creperies
fire-truck-crepes-college-station,foodtrucks
razzoos-cajun-cafe-college-station,cajun
razzoos-cajun-cafe-college-station,diners
cenare-italian-restaurant-college-station,italian
cenare-italian-restaurant-college-station,wine_bars
centro-american-restaurant-and-pupuseria-college-station,latin
centro-american-restaurant-and-pupuseria-college-station,mexican
paolos-italian-kitchen-college-station-3,italian
yangtuo-club-college-station-3,hotpot
yangtuo-club-college-station-3,asianfusion
yangtuo-club-college-station-3,buffets
aji-sushi-college-station,asianfusion
aji-sushi-college-station,sushi
laynes-of-college-station-college-station,hotdogs
fusion-peru-college-station,foodtrucks
fusion-peru-college-station,peruvian
dixie-chicken-college-station,tradamerican
dixie-chicken-college-station,bars
dixie-chicken-college-station,chickenshop
mong-chon-korean-take-out-college-station,korean
blue-baker-college-station-2,pizza
blue-baker-college-station-2,bakeries
blue-baker-college-station-2,sandwiches
luigis-patio-ristorante-college-station,italian
luigis-patio-ristorante-college-station,pizza
pin-toh-thai-cafe-bryan,thai
pin-toh-thai-cafe-bryan,bubbletea
pin-toh-thai-cafe-bryan,salad
kolache-rolfs-college-station-4,bakeries
kolache-rolfs-college-station-4,breakfast_brunch
kolache-rolfs-college-station-4,desserts
hes-cafe-college-station,cafes
hes-cafe-college-station,chinese
hes-cafe-college-station,sushi
babes-doughnut-and-coffee-shop-bryan,donuts
babes-doughnut-and-coffee-shop-bryan,breakfast_brunch
zoës-kitchen-college-station,mediterranean
blaze-fast-fired-pizza-college-station,salad
blaze-fast-fired-pizza-college-station,hotdogs
blaze-fast-fired-pizza-college-station,pizza
christophers-world-grille-bryan,seafood
christophers-world-grille-bryan,steak
christophers-world-grille-bryan,newamerican
si-senor-mexican-grill-college-station,mexican
si-senor-mexican-grill-college-station,foodtrucks
si-senor-mexican-grill-college-station,tradamerican
