Restaurant_id,hours_open_sunday,hours_open_monday,hours_open_tuesday,hours_open_wednesday,hours_open_thursday,hours_open_friday,hours_open_saturday,hours_close_sunday,hours_close_monday,hours_close_tuesday,hours_close_wednesday,hours_close_thursday,hours_close_friday,hours_close_saturday
mad-taco-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
napa-flats-wood-fired-kitchen-college-station-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2100
555-grill-college-station-2,,1700,1700,1700,1700,1700,1700,,2200,2200,2200,2200,2200,2200
the-republic-college-station,1700,1700,1700,1700,1700,1700,,2200,2200,2200,2200,2200,2200,
mickeys-sliders-college-station,,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2200,2200,1700
twisted-noodle-cafe-college-station,1000,1000,1000,1000,1000,1000,1100,2130,2130,2130,2130,2130,2130,2100
shun-de-mom-express-college-station-6,,1030,1030,1030,1030,1030,1030,,2100,2100,2100,2100,2100,2100
ohana-korean-grill-college-station,1700,1700,1700,1700,1700,1700,,2100,2100,2100,2100,2130,2130,
first-watch-breakfast-brunch-and-lunch-college-station,0700,0700,0700,0700,0700,0700,0700,1430,1430,1430,1430,1430,1430,1430
grub-burger-bar-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
veritas-wine-and-bistro-college-station,1100,1100,1100,1100,1100,1100,1730,2130,2130,2130,2130,2200,2200,2130
fuego-tortilla-grill-college-station,0000,0600,0000,0000,0000,0000,0000,0400,0000,0000,0000,0000,0000,0000
canteen-bar-and-grill-college-station,1600,1600,1600,1600,1200,1200,1600,0000,0000,0000,0000,0200,0200,0000
the-west-end-elixir-company-college-station,1500,1500,1500,1500,1500,1500,1500,0200,0200,0200,0200,0200,0200,0200
40-tempura-japanese-fusion-grill-college-station,1700,1700,1700,1700,1700,1700,,2200,2200,2200,2200,2200,2200,
ye-star-chinese-buffet-college-station,1100,1100,1100,1100,1100,1100,1100,2130,2130,2130,2130,2200,2200,2130
shiraz-shish-kabob-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
yummi-yummi-mongolian-grill-and-sushi-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
urban-bricks-pizza-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,0000,0000,2200
koppe-bridge-bar-and-grill-college-station,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,1600
harvey-washbangers-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
taz-indian-cuisine-college-station,1700,1700,1700,1700,1700,1700,1700,2130,2130,2130,2130,2200,2200,2130
fish-daddys-seafood-grill-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
hopdoddy-burger-bar-college-station,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,0000,0000,0015,2200
torchys-tacos-college-station,0700,0700,0700,0700,0700,0800,0800,2200,2200,2200,2200,2300,2300,2200
bbq-13-0-college-station,1700,1700,1700,1700,1700,1700,1700,2200,2200,2200,0300,0300,0300,2200
razzoos-cajun-cafe-college-station,1100,1100,1100,1100,1100,1100,1100,2300,2300,2300,2300,0000,0000,2300
cenare-italian-restaurant-college-station,1700,1700,1700,1700,1700,1100,,2130,2130,2130,2130,2200,2200,
centro-american-restaurant-and-pupuseria-college-station,1030,1030,1030,1030,1030,1030,1030,2200,2200,2200,2200,2200,2200,2200
paolos-italian-kitchen-college-station-3,1700,1700,1700,1700,1700,1700,,2130,2130,2130,2130,2130,2130,
